full_name,priceA,height,body_mass_index,foot,age,position,Successfull Pass Rate,Total Successful Passes,Duels Rate,Duels,Total Losses Of Possession,Time Played,Appearances,Recoveries,Touches,Games Played,Winning Goal,Goals Conceded,Key Passes,Total Shots,Yellow Cards,label
Emre Tasdemir,200000000,1.76,22.598,1,28,1,0.8220338983050848,97.0,0.4285714285714285,21.0,53,317,5,14,213,5,1,4.0,3.0,3.0,1.0,1
Patrick John Miguel van Aanholt,4000000,1.76,23.889,1,33,1,0.8496376811594203,469.0,0.4927536231884058,69.0,138,1098,14,86,782,14,0,15.0,14.0,10.0,1.0,2
Eren Albayrak,225000,1.79,22.471,1,32,1,0.7096774193548387,22.0,0.6,10.0,24,47,4,7,64,4,0,2.0,1.0,1.0,0.0,2
Cengiz Umut Meras,1600000,1.78,23.04,1,28,1,0.8011363636363636,141.0,0.4444444444444444,36.0,61,338,13,24,284,13,0,5.0,4.0,1.0,0.0,2
Peter Antonio Zulj,1500000,1.86,23.124,1,30,2,0.7733887733887734,372.0,0.4380952380952381,105.0,188,716,8,76,671,8,0,10.0,10.0,13.0,2.0,2
Ali Yasar,575000,1.8,23.148,1,28,1,0.770197486535009,429.0,0.5923076923076923,130.0,215,1369,23,114,907,23,0,31.0,11.0,4.0,2.0,2
Adis Jahovic,225000,1.9,24.931,2,36,3,0.6258992805755396,87.0,0.4729729729729729,74.0,83,588,13,12,231,13,0,13.0,4.0,20.0,2.0,2
Kristijan Bistrovic,2200000,1.83,22.395,2,25,2,0.82560706401766,374.0,0.4787234042553192,94.0,147,1158,13,93,668,13,0,20.0,21.0,16.0,1.0,1
Aaron Salem Boupendza Pozzi,7000000,1.78,22.724,1,27,3,0.7854406130268199,205.0,0.423841059602649,151.0,151,1092,15,43,488,15,1,12.0,12.0,34.0,2.0,1
Selim Ay,75000,1.84,22.153,2,32,1,0.8397291196388262,372.0,0.52,50.0,77,657,9,33,510,9,0,9.0,3.0,2.0,3.0,2
Sefa Yilmaz,200000,1.83,23.59,2,33,2,0.6788321167883211,186.0,0.5447154471544715,123.0,154,1048,19,42,453,19,1,9.0,12.0,14.0,6.0,2
Luis Miguel Afonso Fernandes,4000000,1.77,22.663,2,34,3,0.8505747126436781,222.0,0.4285714285714285,49.0,66,386,15,20,343,15,1,7.0,8.0,7.0,1.0,2
Yusuf Yazici,15000000,1.83,22.097,1,26,2,0.7643979057591623,146.0,0.303030303030303,66.0,96,501,13,24,297,13,1,11.0,4.0,11.0,2.0,2
Hasan Ali Kaldirim,400000,1.83,22.395,1,34,1,0.8109339407744874,356.0,0.4776119402985074,67.0,122,828,11,34,644,11,0,19.0,10.0,3.0,0.0,2
Olimpiu Vasile Morutan,3500000,1.72,23.999,1,24,2,0.7378917378917379,518.0,0.4545454545454545,352.0,521,2351,35,127,1388,35,0,22.0,53.0,54.0,5.0,1
Yusuf Erdogan,1000000,1.71,23.255,1,31,2,0.8518518518518519,46.0,0.25,20.0,20,60,7,6,81,7,0,2.0,1.0,1.0,1.0,2
Dogucan Haspolat,2500000,1.77,23.939,2,23,2,0.8722891566265061,362.0,0.3875,80.0,86,704,18,49,535,18,0,13.0,5.0,4.0,2.0,2
Hadi Sacko,200000,1.83,24.486,1,29,3,0.7596899224806202,196.0,0.4076923076923077,130.0,156,841,18,44,454,18,0,17.0,7.0,11.0,4.0,2
Onur Bulut,3000000,1.79,21.535,2,29,1,0.8222940226171244,1018.0,0.5158371040723982,221.0,388,2476,29,160,1925,29,0,34.0,10.0,14.0,2.0,1
Dino Arslanagic,800000,1.9,23.823,2,30,1,0.8163103721298496,1031.0,0.5858585858585859,198.0,279,2655,31,97,1581,31,0,23.0,2.0,8.0,9.0,2
Milan Skoda,300000,1.9,23.823,2,37,3,0.5560538116591929,124.0,0.4385964912280701,114.0,134,962,18,25,333,18,1,16.0,8.0,19.0,5.0,2
Jason Eyenga Lokilo,400000,1.75,21.224,1,25,3,0.8011869436201781,270.0,0.5327102803738317,107.0,150,979,14,73,551,14,0,16.0,8.0,18.0,3.0,1
Evren Eren Elmali,4200000,1.83,22.694,3,23,1,0.8397790055248618,1064.0,0.5930735930735931,231.0,401,2508,30,159,1978,30,0,42.0,18.0,7.0,8.0,2
Tolga Cigerci,1000000,1.85,23.375,2,31,2,0.8121827411167513,320.0,0.4657534246575342,73.0,114,679,11,71,511,11,0,17.0,4.0,5.0,2.0,2
Soner Aydogdu,1100000,1.8,22.531,1,32,2,0.8220338983050848,194.0,0.4328358208955223,67.0,81,532,12,35,343,12,0,3.0,12.0,11.0,4.0,2
Elvis Manu,500000,1.73,21.384,2,30,3,0.7,105.0,0.3666666666666666,90.0,106,615,10,28,293,10,0,13.0,5.0,8.0,3.0,1
Oguz Ceylan,400000,1.74,23.781,2,33,1,0.7912087912087912,216.0,0.5822784810126582,79.0,119,573,8,36,486,8,0,7.0,9.0,2.0,1.0,2
Marwane Saadane,1100000,1.88,23.483,2,31,2,0.841715976331361,1138.0,0.6491228070175439,171.0,236,2115,24,183,1643,24,3,30.0,4.0,15.0,2.0,2
