label,full_name,dateA,priceA,dateB,priceB,height,weight,body_mass_index,foot,age,position,Successful Long Passes,Ground Duels lost,Aerial Duels won,Interceptions,Foul Attempted Tackle,Total Passes,Successful Passes Opposition Half,Duels won,Shots On Target,Total Losses Of Possession,Clean Sheets,Rightside Passes,Unsuccessful Short Passes,Successful Short Passes,Successful Crosses & Corners,Blocks,Throw Ins to Own Player,Ground Duels won,Ground Duels,Goals Conceded Inside Box,Time Played,Duels lost,Unsuccessful Crosses open play,Successful Crosses open play,Appearances,Goals Conceded,Handballs conceded,Total Tackles,Goals from Inside Box,PutThrough/Blocked Distribution,Tackles Won,Successful Dribbles,Duels,Total Fouls Conceded,Successful Open Play Passes,PutThrough/Blocked Distribution Won,Recoveries,Unsuccessful Dribbles,Unsuccessful Passes Opposition Half,Total Clearances,Forward Passes,Index,Headed Goals,Starts,Total Fouls Won,Backward Passes,Unsuccessful Long Passes,Substitute Off,Total Touches In Opposition Box,Touches,Key Passes,Tackles Lost,Successful Passes Own Half,Unsuccessful Launches,Aerial Duels,Unsuccessful Passes Own Half,Open Play Passes,Goals,Aerial Duels lost,Times Tackled,Unsuccessful Crosses & Corners,Throw Ins to Opposition Player,Corners Won,Total Unsuccessful Passes,Successful Launches,Successful Lay-offs,Total Shots,Total Successful Passes,Shots Off Target,Games Played,Home Goals,Away Goals,Winning Goal,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Blocked Shots,Goals Conceded Outside Box,Fifty Fifty,Right Foot Goals,Goals from Outside Box,Goal Assists,Unsuccessful lay-offs,Successful Fifty Fifty,Leftside Passes,Assists,Offsides,Unsuccessful Corners into Box,Through balls,Corners Taken,Penalties Taken,Left Foot Goals,Penalty Goals Conceded,Penalty Goals,Attempts from Set Pieces,Set Pieces Goals,Successful Corners into Box,Penalties Conceded,Foul Won Penalty,Hit Woodwork,Second Goal Assists,GK Successful Distribution,Goal Kicks,Clearances Off the Line,Penalties Off Target,Own Goal Scored,GK Unsuccessful Distribution,Last Man Tackle,Other Goals
1,Emre Tasdemir,0,200000000,0,0,1.76,70,22.598,1,28,1,8.0,9.0,2.0,2.0,1.0,118,56.0,9,2.0,53.0,1.0,49.0,16.0,89,3.0,1.0,32.0,7.0,16.0,4,317,12.0,21.0,3.0,5,4.0,1.0,3.0,1.0,8.0,2.0,1.0,21,3.0,95,1.0,14,5.0,34.0,9.0,44.0,10,1.0,5.0,3.0,25,5.0,4.0,8.0,213,3.0,1.0,44,4.0,5.0,8.0,116.0,1.0,3.0,6.0,21.0,2.0,8.0,21.0,2.0,1.0,3.0,97,1.0,5,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Patrick John Miguel van Aanholt,0,4000000,0,0,1.76,74,23.889,1,33,1,17.0,31.0,7.0,14.0,4.0,552,250.0,34,4.0,138.0,4.0,224.0,72.0,452,2.0,,77.0,27.0,58.0,9,1098,35.0,17.0,2.0,14,15.0,,23.0,,26.0,12.0,4.0,69,4.0,460,8.0,86,5.0,67.0,11.0,176.0,56,,12.0,,114,11.0,4.0,32.0,782,14.0,11.0,221,4.0,11.0,36.0,543.0,1.0,4.0,10.0,20.0,14.0,5.0,83.0,1.0,1.0,10.0,469,6.0,14,1.0,0.0,0,1.0,,,,2.0,1.0,6.0,18.0,1.0,1.0,2.0,1.0,8.0,38.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2,Eren Albayrak,0,225000,0,0,1.79,72,22.471,1,32,1,2.0,3.0,2.0,,,31,17.0,6,,24.0,,16.0,7.0,20,2.0,,9.0,4.0,7.0,2,47,4.0,6.0,2.0,4,2.0,1.0,1.0,,2.0,1.0,2.0,10,1.0,21,,7,2.0,15.0,1.0,11.0,10,,,1.0,4,2.0,,,64,1.0,,7,1.0,3.0,3.0,30.0,,1.0,3.0,9.0,2.0,1.0,9.0,1.0,,,22,,4,,,0,,,,,4.0,,,,,,,,,,,,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
2,Cengiz Umut Meras,0,1600000,0,0,1.78,73,23.04,1,28,1,8.0,16.0,4.0,15.0,4.0,176,67.0,16,,61.0,,64.0,29.0,133,3.0,,28.0,12.0,28.0,3,338,20.0,9.0,3.0,13,5.0,1.0,9.0,,13.0,6.0,,36,9.0,138,9.0,24,4.0,31.0,10.0,81.0,10,,3.0,3.0,28,6.0,3.0,5.0,284,4.0,3.0,77,1.0,8.0,13.0,172.0,,4.0,6.0,9.0,4.0,4.0,35.0,1.0,,1.0,141,1.0,13,,,0,,,,,10.0,1.0,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Peter Antonio Zulj,0,1500000,0,0,1.86,80,23.124,1,30,2,23.0,47.0,7.0,,4.0,481,200.0,46,6.0,188.0,3.0,93.0,77.0,349,8.0,2.0,7.0,39.0,86.0,8,716,59.0,10.0,3.0,8,10.0,1.0,8.0,,26.0,7.0,15.0,105,13.0,352,12.0,76,9.0,124.0,5.0,182.0,10,,8.0,16.0,67,32.0,1.0,29.0,671,10.0,1.0,180,8.0,19.0,15.0,457.0,1.0,12.0,22.0,30.0,,9.0,109.0,2.0,3.0,13.0,372,7.0,8,1.0,0.0,0,2.0,,,,,6.0,2.0,13.0,,1.0,2.0,1.0,5.0,139.0,2.0,2.0,14.0,2.0,21.0,,1.0,1.0,,1.0,1.0,5.0,,,,,,,,,,,,
2,Ali Yasar,0,575000,0,0,1.8,75,23.148,1,28,1,44.0,41.0,19.0,22.0,5.0,557,196.0,77,1.0,215.0,1.0,167.0,72.0,385,10.0,2.0,88.0,58.0,99.0,23,1369,53.0,28.0,7.0,23,31.0,2.0,40.0,,30.0,23.0,3.0,130,15.0,398,13.0,114,3.0,112.0,41.0,227.0,10,,15.0,15.0,116,56.0,5.0,1.0,907,11.0,17.0,243,27.0,31.0,50.0,524.0,1.0,12.0,12.0,34.0,28.0,7.0,128.0,7.0,,4.0,429,3.0,23,1.0,0.0,0,2.0,,,,8.0,3.0,8.0,,,1.0,,,,47.0,,,3.0,1.0,16.0,,1.0,4.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,
2,Adis Jahovic,0,225000,0,0,1.9,90,24.931,2,36,3,3.0,16.0,21.0,1.0,1.0,139,60.0,35,10.0,83.0,,32.0,51.0,84,2.0,,3.0,14.0,30.0,12,588,39.0,5.0,2.0,13,13.0,1.0,7.0,2.0,5.0,4.0,1.0,74,6.0,76,1.0,12,5.0,53.0,8.0,42.0,10,,6.0,6.0,34,1.0,5.0,33.0,231,4.0,3.0,29,,44.0,4.0,128.0,2.0,23.0,10.0,5.0,,4.0,52.0,,5.0,20.0,87,10.0,13,2.0,0.0,0,2.0,,,,7.0,1.0,1.0,,2.0,,2.0,2.0,,31.0,2.0,7.0,,,,1.0,,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,
1,Kristijan Bistrovic,0,2200000,0,0,1.83,75,22.395,2,25,2,35.0,40.0,6.0,16.0,1.0,453,225.0,45,8.0,147.0,3.0,116.0,67.0,339,22.0,2.0,2.0,39.0,79.0,18,1158,49.0,9.0,7.0,13,20.0,,14.0,1.0,13.0,10.0,15.0,94,6.0,347,7.0,93,11.0,85.0,9.0,158.0,50,,13.0,10.0,60,12.0,3.0,12.0,668,21.0,4.0,171,2.0,15.0,28.0,422.0,1.0,9.0,15.0,34.0,,8.0,79.0,2.0,4.0,16.0,374,8.0,13,0.0,1.0,0,1.0,,,,,4.0,2.0,23.0,1.0,,,1.0,12.0,119.0,,,16.0,3.0,36.0,,,,,2.0,,12.0,,,,,,,,,,,,
1,Aaron Salem Boupendza Pozzi,0,7000000,0,0,1.78,72,22.724,1,27,3,6.0,77.0,13.0,8.0,16.0,261,143.0,64,14.0,151.0,,89.0,49.0,199,2.0,1.0,3.0,51.0,128.0,12,1092,87.0,18.0,2.0,15,12.0,1.0,17.0,7.0,13.0,9.0,20.0,151,26.0,198,8.0,43,13.0,66.0,3.0,50.0,10,,13.0,14.0,60,7.0,11.0,70.0,488,12.0,8.0,64,1.0,23.0,8.0,254.0,7.0,10.0,35.0,18.0,1.0,5.0,56.0,,7.0,34.0,205,20.0,15,5.0,2.0,1,2.0,,,,2.0,5.0,,23.0,,,3.0,,8.0,62.0,3.0,5.0,,,1.0,2.0,7.0,2.0,1.0,1.0,,,2.0,,2.0,,,,,,,,,
2,Selim Ay,0,75000,0,0,1.84,75,22.153,2,32,1,35.0,13.0,12.0,7.0,4.0,443,162.0,26,,77.0,1.0,76.0,34.0,337,,7.0,,14.0,27.0,7,657,24.0,1.0,,9,9.0,,11.0,,5.0,10.0,1.0,50,7.0,352,4.0,33,,47.0,17.0,203.0,10,,7.0,2.0,28,37.0,,3.0,510,3.0,1.0,210,10.0,23.0,25.0,418.0,,11.0,2.0,1.0,,,71.0,,,2.0,372,2.0,9,,,0,3.0,,,,2.0,1.0,2.0,,,,,,,136.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
