full_name,url,url_api
Sofiane Feghouli,https://www.mackolik.com/futbolcu/sofiane-feghouli/sezon/8lk61g6juvnra8cdaq1cgho7p,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=c3txoz57mu7w9y1jprvnv2flr&_lcl=tr&_fmt=jsonp&_clbk=W388b3ebb66e545fd6627926464c5c7a0bd5e7f141
Emre Tasdemir,https://www.mackolik.com/futbolcu/emre-ta%C5%9Fdemir/sezon/cv1bo6878r9st2cpx4i4inpw5,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=esa748l653sss1wurz5ps3228&_lcl=tr&_fmt=jsonp&_clbk=W3edb80defe4e6bc3f7102cf7d4dddb6efc0dbf446
Petar Filipovic,https://www.mackolik.com/futbolcu/p-filipovi%C4%87/sezon/5nieqzkce0qm5uikh35lpkl3p,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=9twbg4nxdgan7uvdgt08lo5ck&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W3f9e61a30ad38a56fb5d16556a8423bd9bbf01b19
Vegar Eggen Hedenstad,https://www.mackolik.com/futbolcu/v-hedenstad/sezon/2d9k8p22131is7op7vcn0arbp,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=2qgi9n7egeyzgb9s5lby02vx0&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W35af64c48c8ae1cd8ac35db8eb509198bc92d88af
Ridvan Yilmaz,https://www.mackolik.com/futbolcu/r%C4%B1dvan-y%C4%B1lmaz/sezon/1o7uvhqqueh716napx4qpq99m,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=4vn5ws6lkmjrn2364kcx722vo&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W335e8fa8fcc78e757abdd71f12ea621efb6fd8fa0
Dieumerci Ndongala,https://www.mackolik.com/futbolcu/d-ndongala/sezon/5l3n8ovya7zip4koqugm8bm51,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=9twbg4nxdgan7uvdgt08lo5ck&ctst=eu0or974evp0gojv63d3imktn&_lcl=tr&_fmt=jsonp&_clbk=W36872dabc14d4998aeb4ec12723cbb4970eeb2ba7
Patrick John Miguel van Aanholt,https://www.mackolik.com/futbolcu/p-van-aanholt/sezon/6yush35gfp1sgyyzicye73rp,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=d1k1pqdg2yvw8e8my74yvrdw4&ctst=24fvcruwqrqvqa3aonf8c3zuy&_lcl=tr&_fmt=jsonp&_clbk=W342079df8832eea2b4213fb0ba7bc33aa3ede5c95
Osman Celik,https://www.mackolik.com/futbolcu/osman-%C3%A7elik/sezon/93ee3ot9mj7ai0dxy24l8ez11,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=2y75xa2qc4nrx5k7tg8k75p90&ctst=dpsnqu7pd2b0shfzjyn5j1znf&_lcl=tr&_fmt=jsonp&_clbk=W31c5492d99138d4c5c14da79f24ca631b37366ffe
Eren Albayrak,https://www.mackolik.com/futbolcu/eren-albayrak/sezon/6s5in9xaepv81w4ilxf2vns2d,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=2y75xa2qc4nrx5k7tg8k75p90&ctst=2wewa9ecjudncv3fs8d3ind9l&_lcl=tr&_fmt=jsonp&_clbk=W3ae519e7224c5494133bedabf3304be8d21ee8999
Mickael Sylvain Tirpan,https://www.mackolik.com/futbolcu/m-tirpan/sezon/4e6yz7j1xjd7b6oyv078q8edx,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W39994340d540672f57062ce9db1a90b8ef893c148
Erencan Yardimci,https://www.mackolik.com/futbolcu/erencan-yard%C4%B1mc%C4%B1/sezon/554rczyb70s1i6vttlp8a1w16,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=8r501mwlwob1dfl824j7ja1p0&ctst=9joybupbfsdfzj11mf5z9i5in&_lcl=tr&_fmt=jsonp&_clbk=W3a587bad03c55a470930e402cd50e1a6bd6cf4035
Ersan Adem Gulum,https://www.mackolik.com/futbolcu/e-g%C3%BCl%C3%BCm/sezon/1fctdb7kiqzk7v49s5f1s69cl,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=ietioe8niaaer9q56rxtpkpg&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W3228eb79ef02c61109ce1a642d32d7e5f237d18aa
Jose Luis Mendes Andrade,https://www.mackolik.com/futbolcu/z%C3%A9-lu%C3%ADs/sezon/eg24r9plf0iezodkud8tn5rdh,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=efy1nhpn5l6hc27znhsptegba&_lcl=tr&_fmt=jsonp&_clbk=W34ec0d53288fe4c4b28263d9748d58e65011462ee
Bartlomiej Pawlowski,https://www.mackolik.com/futbolcu/b-paw%C5%82owski/sezon/euji9ivye2lbpmgo8nqbe3qvp,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=2ncz91xgsl3amfnpx7ygx1990&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W33f811ba3b16ecb5afede3f582f7a0c2679c30bf4
Guray Vural,https://www.mackolik.com/futbolcu/g%C3%BCray-vural/sezon/4hwp3dxmcs9qn1hfl6i5j5s5x,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=9irsyv431fpuqhqtfq9iwxf2u&_lcl=tr&_fmt=jsonp&_clbk=W3db666e562d76123c3eb86f56821e19151004f40b
Erdem Ozgenc,https://www.mackolik.com/futbolcu/erdem-%C3%B6zgen%C3%A7/sezon/e63qzrqda02xzw8tkd3cj15g5,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=2y75xa2qc4nrx5k7tg8k75p90&ctst=9badgd05ykw5xo8tm6zci5aeu&_lcl=tr&_fmt=jsonp&_clbk=W3d50acd4e37968d78f922270ec2151881ef7b2580
Jese Rodriguez Ruiz,https://www.mackolik.com/futbolcu/jes%C3%A9/sezon/x1qsrbva1nlv7nvmk2an19ed,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=917vbkpe5rs8mnwskj4jz7ys&ctst=4plikfte18rv8v4l89z803d4y&_lcl=tr&_fmt=jsonp&_clbk=W37ff09f416707ee90a24b03052d77e6e1dc4cb0b4
